Ticker,Summary,Sentiment,Sentiment Score,URL
ETH,Ethereum’s burn-rate offsets new coin issuance. Uniswap traders led the charge with 13.3% of on-chain activity,NEGATIVE,0.9593207836151123,https://finance.yahoo.com/news/eth-supply-trends-down-inflationary-135300712.html
ETH,Average daily transaction fees for Bitcoin surpass Ethereum. Ordinals-based assets experienced a significant surge in late October,POSITIVE,0.7758351564407349,https://finance.yahoo.com/news/bitcoin-overtakes-ethereum-transaction-fees-054926881.html
ETH,InQubeta is one of the new ICOs to make waves. Ethereum and BNB are soaring in the crypto market,POSITIVE,0.9993010759353638,https://finance.yahoo.com/news/ethereum-breaks-1-800-resistance-111857187.html
ETH,All images are copyrighted.,NEGATIVE,0.9880996346473694,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BETH%26tbm%3Dnws%26pccc%3D1
ETH,Ether’s price keeps climbing after spot ETF filing by BlackRock. Cboe set to introduce margined Bitcoin and Ether futures on January 11,NEGATIVE,0.8529015779495239,https://uk.finance.yahoo.com/news/crypto-trading-volumes-soar-blackrock-144158367.html
ETH,Prices of Bitcoin and Ethereum to be quoted on Artprice's Standardized Marketplace.,NEGATIVE,0.963610827922821,https://finance.yahoo.com/news/artmarket-com-artprices-standardized-marketplace-060000600.html
ETH,Google search data shows surge in interest in ‘bridges’. Umbria Network ranked as top solution for ‘bridges’,POSITIVE,0.9924314022064209,https://finance.yahoo.com/news/bridging-crypto-frontiers-hottest-google-163500641.html
ETH,Competing for a share of an impressive prize pool is a rewarding experience for all.,POSITIVE,0.9998705387115479,https://finance.yahoo.com/news/bingx-releases-btc-eth-sol-133914892.html
ETH,Ripple has been gaining attention due to its advantageous position in the global banking rules.,POSITIVE,0.997931718826294,https://finance.yahoo.com/news/top-three-altcoins-keep-radar-121000727.html
ETH,"Asset management giant to launch a spot Ethereum ETF. Ethereum surged 11% on the news, reaching $2,123 within 24 hours",POSITIVE,0.9759172797203064,https://finance.yahoo.com/news/blackrock-confirms-plans-ethereum-spot-054152023.html
ETH,"Data availability layer launched with Madara, Caldera, Fluent, Vistara, and Movement Labs.",POSITIVE,0.6300901174545288,https://finance.yahoo.com/news/near-foundation-launches-near-da-143000330.html
